Phase,Trial_ID,Cue_1,Cue_2,Target,Valence,User_Response,RT,Correct
Recall,1,trust,faith,belief,positive,belief,10.88005645800149,1
Recall,2,bag,box,case,neutral,case,5.148042334010825,1
Recall,3,dark,gloom,shadow,negative,shadow,13.831846625020262,1
Recall,4,family,home,together,positive,together,4.826952458999585,1
Recall,5,lonely,alone,empty,negative,empty,7.373012583004311,1
Recall,6,energy,active,strong,positive,strong,10.207023457973264,1
Recall,7,relax,comfort,safe,positive,safe,11.06822470901534,1
Recall,8,broken,damage,crack,negative,crack,7.517059542005882,1
Recall,9,rude,mean,harsh,negative,harsh,4.228347749973182,1
Recall,10,room,house,building,neutral,building,4.646022625034675,1
Recall,11,clock,time,hour,neutral,hour,19.178796708991285,1
Recall,12,proud,success,win,positive,win,7.206219499988947,1
Recall,13,window,door,wall,neutral,wall,2.771066583984066,1
Recall,14,joy,smile,romance,positive,romance,2.978281582996715,1
Recall,15,table,chair,desk,neutral,desk,10.311490790976677,1
Recall,16,late,delay,wait,negative,wait,7.778221874963492,1
Recall,17,boring,dull,plain,negative,plain,5.785579457995482,1
Recall,18,store,shop,market,neutral,market,8.428951625013724,1
Recall,19,angry,mad,upset,negative,upset,22.54369308403693,1
Recall,20,calendar,date,month,neutral,mouth,3.631431666959543,0
Recall,21,fear,scared,afraid,negative,afraid,3.999581500014756,1
Recall,22,bottle,cup,glass,neutral,glasses,4.521089083980769,0
Recall,23,fail,loss,miss,negative,miss,4.211282750009559,1
Recall,24,worry,doubt,concern,negative,concern,5.314927832980175,1
Recall,25,stress,tense,pressure,negative,pressure,5.898780790972523,1
Recall,26,freedom,open,choice,positive,choice,10.411740957992151,1
Recall,27,excited,cheer,play,positive,play,11.240349125000648,1
Recall,28,problem,trouble,issue,negative,issue,5.750532917038072,1
Recall,29,sad,cry,tears,negative,tears,10.322972166992258,1
Recall,30,pen,pencil,marker,neutral,marker,7.692209457978606,1
Recall,31,food,meal,dinner,neutral,dinner,3.5282135840388946,1
Recall,32,pain,hurt,ache,negative,ache,3.174901625025086,1
Recall,33,relief,easy,rest,positive,rest,3.778584874991793,1
Recall,34,clean,fresh,light,positive,light,27.780872041999828,1
Recall,35,happy,peace,kind,positive,kind,4.900085958011914,1
Recall,36,car,bus,train,neutral,train,5.78505133400904,1
Recall,37,bright,hope,calm,positive,calm,12.546226374979597,1
Recall,38,shirt,jacket,shoe,neutral,shoe,12.190010124992114,1
Recall,39,weak,tired,slow,negative,slow,4.653946458012797,1
Recall,40,book,notebook,paper,neutral,paper,5.018627999990713,1
Recall,41,plant,leaf,tree,neutral,tree,4.207942667009775,1
Recall,42,funny,joke,humor,positive,humor,4.174519749998581,1
Recall,43,creative,idea,art,positive,art,5.85005408298457,1
Recall,44,button,zipper,pocket,neutral,pocket,6.485751625034027,1
Recall,45,noise,loud,chaos,negative,chaos,3.7446862919605337,1
Recall,46,hard,difficult,rough,negative,rough,7.3536292079952545,1
Recall,47,dirty,mess,trash,negative,trash,11.469766666996293,1
Recall,48,enjoy,pleasant,good,positive,good,5.39778787503019,1
Recall,49,sick,ill,fever,negative,fever,4.801971665991005,1
Recall,50,fun,laugh,party,positive,party,6.3274710410041735,1
Recall,51,lamp,bulb,light,neutral,light,4.0979526250157505,1
Recall,52,city,town,place,neutral,place,16.10594645899255,1
Recall,53,sunshine,summer,beach,positive,beach,8.059014791972004,1
Recall,54,bad,wrong,mistake,negative,mistale,4.1921144999796525,0
Recall,55,help,support,share,positive,share,5.706728958000895,1
Recall,56,phone,screen,keyboard,neutral,keyboard,11.423196791962255,1
Recall,57,map,route,street,neutral,street,6.039936584013049,1
Recall,58,love,warm,care,positive,care,8.641823290963657,1
Recall,59,street,road,corner,neutral,corner,13.061793999979272,1
Recall,60,sweet,gift,thank,positive,thank,4.865883040998597,1
